id,detection_confidence,condition,condition_confidence,x1,y1,x2,y2,analysis_method,area_px,width_px,height_px,aspect_ratio,circularity,brightness,hue,saturation
1,0.985,healthy,0.714,207,259,415,445,HSV,35518.5,208,186,1.118,0.625,129.06,14.11,100.36
2,0.985,unhealthy,0.6,236,447,421,612,GrabCut,19175.5,166,145,1.145,0.73,185.51,12.87,80.67
3,0.981,healthy,0.716,562,124,730,279,GrabCut,16694.0,142,141,1.007,0.727,193.66,13.52,87.82
4,0.977,healthy,0.744,514,253,673,428,HSV,27492.0,159,175,0.909,0.784,122.26,21.88,107.38
5,0.973,unhealthy,0.764,617,422,748,580,GrabCut,13507.0,119,143,0.832,0.792,172.39,13.26,98.83
6,0.967,healthy,0.932,402,548,613,767,GrabCut,8136.5,146,101,1.446,0.503,200.97,100.1,47.74
7,0.967,unhealthy,0.656,318,590,442,755,HSV,19632.0,124,165,0.752,0.774,150.82,14.23,116.18
8,0.965,healthy,0.934,346,73,574,328,GrabCut,36250.5,204,231,0.883,0.715,191.71,45.53,83.15
9,0.911,healthy,0.882,397,359,629,556,GrabCut,27818.5,199,179,1.112,0.614,162.81,21.7,100.08
10,0.897,unhealthy,0.887,646,282,734,422,GrabCut,4301.0,77,81,0.951,0.583,228.23,21.59,84.66
11,0.685,unhealthy,0.716,545,591,707,768,HSV,27461.5,162,177,0.915,0.758,165.16,24.76,94.4
12,0.564,unhealthy,0.822,608,592,708,766,GrabCut,3735.5,73,64,1.141,0.806,190.29,28.91,90.05
13,0.459,unhealthy,0.781,608,592,708,767,GrabCut,3785.5,73,64,1.141,0.817,190.12,28.7,90.3
