epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,112.541,0.38333,0.99616,1,0.01808,0.000542437,0.000542437,0.000542437
2,219.595,0.09153,0.98977,1,0.0311,0.00102563,0.00102563,0.00102563
3,337.523,0.06652,0.99361,1,0.03071,0.00143547,0.00143547,0.00143547
4,456.823,0.0786,0.99488,1,0.01525,0.00133693,0.00133693,0.00133693
5,578.653,0.09914,0.99361,1,0.01152,0.00122691,0.00122691,0.00122691
6,709.43,0.09646,0.99361,1,0.02173,0.00111689,0.00111689,0.00111689
7,862.487,0.06224,0.99744,1,0.00862,0.00100687,0.00100687,0.00100687
8,1036.71,0.03661,0.99488,1,0.00901,0.000896846,0.000896846,0.000896846
9,1193.26,0.02962,0.99488,1,0.01267,0.000786824,0.000786824,0.000786824
10,1360.81,0.04098,0.99744,1,0.00801,0.000676802,0.000676802,0.000676802
11,1552.76,0.02999,0.99616,1,0.01991,0.00056678,0.00056678,0.00056678
12,1696.72,0.03724,0.99616,1,0.01207,0.000456758,0.000456758,0.000456758
13,1898.1,0.01586,0.99616,1,0.01217,0.000346736,0.000346736,0.000346736
14,2148.14,0.03693,0.99616,1,0.00899,0.000236714,0.000236714,0.000236714
15,2346.32,0.01745,0.99616,1,0.00671,0.000126692,0.000126692,0.000126692
